00:54:58.886598 DCon93   ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Stopping)}, preserve=false aResultDetail=0
00:54:58.896027 DCon93   Saving settings file "/home/angryluck/VirtualBox VMs/NixOS Manual Installation/NixOS Manual Installation.vbox" with version "1.19-linux"
00:54:58.904570 DCon93   Finished saving settings file "/home/angryluck/VirtualBox VMs/NixOS Manual Installation/NixOS Manual Installation.vbox"
00:54:58.906184 DCon102  ERROR [COM]: aRC=NS_ERROR_INVALID_ARG (0x80070057) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={SessionMachine} aText={Properties with TRANSIENT or TRANSRESET flag cannot be set or modified if VM is not running}, preserve=false aResultDetail=0
00:54:58.954729 DCon115  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:54:59.996141 DCon114  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
00:55:01.656690 MainPower Host suspending: Paused 0 VMs
00:55:05.326067 dns-monitor HostDnsMonitor: updating information
00:55:05.326121 dns-monitor HostDnsMonitor: old information
00:55:05.326128 dns-monitor   server 1: 8.8.4.4
00:55:05.326134 dns-monitor   domain: home
00:55:05.326138 dns-monitor   no search string entries
00:55:05.326141 dns-monitor HostDnsMonitor: new information
00:55:05.326145 dns-monitor   no server entries
00:55:05.326149 dns-monitor   no domain set
00:55:05.326153 dns-monitor   no search string entries
00:55:05.333428 MainPower Host resumed: Resumed 0 VMs
00:55:11.230093 dns-monitor NAT: resolv.conf: nameserver 8.8.4.4
00:55:11.230140 dns-monitor HostDnsMonitor: updating information
00:55:11.230150 dns-monitor HostDnsMonitor: old information
00:55:11.230158 dns-monitor   no server entries
00:55:11.230165 dns-monitor   no domain set
00:55:11.230172 dns-monitor   no search string entries
00:55:11.230179 dns-monitor HostDnsMonitor: new information
00:55:11.230194 dns-monitor   server 1: 8.8.4.4
00:55:11.230201 dns-monitor   domain: home
00:55:11.230206 dns-monitor   no search string entries
01:03:37.358681 DCon131  Launched VM: 920649968 pid: 21020 (0x521c) frontend: GUI/Qt name: NixOS Manual Installation
01:03:37.455136 DCon136  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
01:03:37.753252 DCon138  Platform architecture set to 'x86'
01:03:37.778088 DCon142  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is PoweredOff)}, preserve=false aResultDetail=0
01:03:38.406693 DCon142  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={70401eef-c8e9-466b-9660-45cb3e9979e4} aComponent={ExtPackManagerWrap} aText={No extension pack by the name 'Oracle VirtualBox Extension Pack' was found}, preserve=false aResultDetail=0
01:03:38.487920 DCon142  NetIfAdpCtlOut: VBoxNetAdpCtl: Error while retrieving link speed for wlan0: VBoxNetAdpCtl: ioctl failed: Operation not supported
01:03:38.577359 DCon141  ERROR [COM]: aRC=VBOX_E_INVALID_VM_STATE (0x80bb0002) aIID={e36a5081-a82a-40bd-9e4e-42a44d6ce50f} aComponent={MachineWrap} aText={The machine is not mutable, saved or running (state is Starting)}, preserve=false aResultDetail=0
01:03:38.801546 DCon133  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
01:03:38.803087 DCon133  ERROR [COM]: aRC=VBOX_E_OBJECT_NOT_FOUND (0x80bb0001) aIID={7d510820-a678-4730-a862-818dcd3fbed0} aComponent={MediumWrap} aText={Property 'CRYPT/KeyId' does not exist}, preserve=false aResultDetail=0
01:03:38.804566 DCon133  HostDnsMonitorProxy::GetDomainName: home
01:03:38.804688 DCon133  HostDnsMonitorProxy::GetNameServers:
01:03:38.804695 DCon133    name server 1: 8.8.4.4
01:03:38.804815 DCon133  HostDnsMonitorProxy::GetSearchStrings:
